('Date', 'Date');('Other', 'tournament-name');('Player', 'p1');('Player', 'p2');('Other', 'maxOdds_1');('Other', 'maxOdds_2');('modelPred', '');confIndexModel_p1;confIndexModel_p2;confIndexModel_max;modelProba1;modelProba2;probaModel_max;valueBetModel;PL_valueBetModel;PL_favoriteBetModel;CUMSUM FAV;OddFav;;ROI;4.64%
2022-08-29 15:05:00;ATP US Open 2022 (hard);Korda S.;Bagnis F.;1.14;8;1;0.8664;1.92;1.92;0.76;0.24;0.76;2;-1;0.14;5.56;1.14;;;
2022-08-29 15:10:00;ATP US Open 2022 (hard);Cerundolo F.;Murray A.;2.24;1.74;2;0.8064;1.1136;1.1136;0.36;0.64;0.64;2;0.74;0.74;6.3;1.74;;;
2022-08-29 16:15:00;ATP US Open 2022 (hard);Medvedev D.;Kozlov S.;1.02;35.59;1;0.9384;2.8472;2.8472;0.92;0.08;0.92;2;-1;0.02;6.32;1.02;;;
2022-08-29 16:50:00;ATP US Open 2022 (hard);Edmund K.;Ruud C.;12.06;1.07;2;0.4824;1.0272;1.0272;0.04;0.96;0.96;2;0.07;0.07;6.39;1.07;;;
2022-08-29 17:05:00;ATP US Open 2022 (hard);Etcheverry T. M.;Grenier H.;3;1.44;1;1.92;0.5184;1.92;0.64;0.36;0.64;1;-1;-1;5.39;3;;;
2022-08-29 17:05:00;ATP US Open 2022 (hard);Wu Y.;Basilashvili N.;1.32;4.33;1;1.0032;1.0392;1.0392;0.76;0.24;0.76;2;-1;0.32;5.71;1.32;;;
2022-08-29 17:40:00;ATP US Open 2022 (hard);Shelton B.;Borges N.;1.44;3.15;1;0.9216;1.134;1.134;0.64;0.36;0.64;2;2.15;-1;4.71;1.44;;;
2022-08-29 19:20:00;ATP US Open 2022 (hard);Krajinovic F.;De Minaur A.;4.01;1.29;2;0.9624;0.9804;0.9804;0.24;0.76;0.76;2;0.29;0.29;5;1.29;;;
2022-08-29 19:25:00;ATP US Open 2022 (hard);Ritschard A.;Auger-Aliassime F.;15.07;1.05;2;3.014;0.84;3.014;0.2;0.8;0.8;1;-1;0.05;5.05;1.05;;;
2022-08-29 19:45:00;ATP US Open 2022 (hard);Garin C.;Lehecka J.;2.11;1.91;2;0.7596;1.2224;1.2224;0.36;0.64;0.64;2;-1;-1;4.05;1.91;;;
2022-08-29 20:00:00;ATP US Open 2022 (hard);Molcan A.;Monteiro T.;1.6;2.58;2;0.576;1.6512;1.6512;0.36;0.64;0.64;2;1.58;1.58;5.63;2.58;;;
2022-08-29 23:00:00;ATP US Open 2022 (hard);Bedene A.;Cachin P.;2.3;1.71;2;0.644;1.2312;1.2312;0.28;0.72;0.72;2;0.71;0.71;6.34;1.71;;;
2022-08-29 23:10:00;ATP US Open 2022 (hard);Tsitsipas S.;Galan D. E.;1.06;15.52;1;0.8904;2.4832;2.4832;0.84;0.16;0.84;2;14.52;-1;5.34;1.06;;;
2022-08-30 15:10:00;ATP US Open 2022 (hard);Norrie C.;Paire B.;1.06;16;1;0.7632;4.48;4.48;0.72;0.28;0.72;2;-1;0.06;5.4;1.06;;;
2022-08-30 16:35:00;ATP US Open 2022 (hard);Isner J.;Delbonis F.;1.14;7.64;1;0.8664;1.8336;1.8336;0.76;0.24;0.76;2;-1;0.14;5.54;1.14;;;
