('Date', 'Date');('Other', 'tournament-name');('Player', 'p1');('Player', 'p2');('Other', 'maxOdds_1');('Other', 'maxOdds_2');('modelPred', '');confIndexModel_p1;confIndexModel_p2;confIndexModel_max;modelProba1;modelProba2;probaModel_max;valueBetModel;PL_valueBetModel;PL_favoriteBetModel;CUMSUM FAV;OddFav;;ROI;2.68%
2022-08-23 15:10:00;ATP US Open 2022 (hard);Agamenone F.;Comesana F.;1.32;3.59;1;1.0032;0.8616;1.0032;0.76;0.24;0.76;1;0.32;0.32;14.02;1.32;;;
2022-08-23 15:15:00;ATP US Open 2022 (hard);Piros Z.;Delbonis F.;1.62;2.5;1;1.134;0.75;1.134;0.7;0.3;0.7;1;-1;-1;13.02;1.62;;;
2022-08-23 15:15:00;ATP US Open 2022 (hard);Marcora R.;Olivieri G. A.;3.5;1.35;1;2.24;0.486;2.24;0.64;0.36;0.64;1;2.5;2.5;15.52;3.5;;;
2022-08-23 16:55:00;ATP US Open 2022 (hard);Muller A.;Holt B.;2.14;1.83;2;0.8988;1.0614;1.0614;0.42;0.58;0.58;2;0.83;0.83;16.35;1.83;;;
2022-08-23 17:00:00;ATP US Open 2022 (hard);Pellegrino A.;Popko D.;2.18;1.75;2;0.9156;1.015;1.015;0.42;0.58;0.58;2;0.75;0.75;17.1;1.75;;;
2022-08-23 17:10:00;ATP US Open 2022 (hard);Polmans M.;Passaro F.;3.46;1.36;1;2.1452;0.5168;2.1452;0.62;0.38;0.62;1;-1;-1;16.1;3.46;;;
2022-08-23 17:10:00;ATP US Open 2022 (hard);Zeppieri G.;Grenier H.;3.25;1.42;2;0.78;1.0792;1.0792;0.24;0.76;0.76;2;0.42;0.42;16.52;1.42;;;
2022-08-23 17:10:00;ATP US Open 2022 (hard);Gomez E.;Krueger M.;1.55;3.04;1;1.085;0.912;1.085;0.7;0.3;0.7;1;0.55;0.55;17.07;1.55;;;
2022-08-23 17:10:00;ATP Winston-Salem 2022 (hard);Gasquet R.;Musetti L.;2.52;1.7;2;0.8568;1.122;1.122;0.34;0.66;0.66;2;-1;-1;16.07;1.7;;;
2022-08-23 17:25:00;ATP US Open 2022 (hard);Ugo Carabelli C.;Celikbilek A.;1.92;1.98;2;0.8448;1.1088;1.1088;0.44;0.56;0.56;2;0.98;0.98;17.05;1.98;;;
